GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payment-service,com.irctc.pnr.model,Pnr,12,65,0,0,4,19,3,19,3,19
payment-service,com.irctc,PaymentApplication,5,3,0,0,2,1,1,1,1,1
payment-service,com.irctc.payment.dto,PaymentRequest,0,31,0,0,0,9,0,9,0,9
payment-service,com.irctc.payment.dto,PaymentResponse,0,59,0,0,0,17,0,17,0,17
payment-service,com.irctc.pnr.controller,PnrController,0,34,0,0,0,11,0,3,0,3
payment-service,com.irctc.middleware,RequestLoggingFilter,0,22,0,0,0,6,0,3,0,3
payment-service,com.irctc.helpers,ApiResponse,15,35,0,0,4,10,4,6,4,6
payment-service,com.irctc.payment.controller,PaymentController,0,45,0,0,0,14,0,4,0,4
payment-service,com.irctc.payment.service,PaymentService,0,156,0,6,0,37,0,9,0,6
payment-service,com.irctc.pnr.service,PnrService,0,96,0,2,0,21,0,9,0,8
payment-service,com.irctc.payment.model,Payment,8,62,0,0,3,18,2,18,2,18
